Estado,Ano,Faixa_Etaria,Nascimentos,Total_Ano
Ceará,2020,25-29 anos,29794,121904
Ceará,2020,30-34 anos,25496,121904
Ceará,2020,35-39 anos,14456,121904
Ceará,2020,40-44 anos,3978,121904
Ceará,2020,Outras idades,242,121904
Ceará,2021,10-14 anos,960,120266
Ceará,2021,15-19 anos,15628,120266
Ceará,2021,20-24 anos,29847,120266
Ceará,2021,25-29 anos,30368,120266
Ceará,2021,30-34 anos,24403,120266
Ceará,2021,35-39 anos,14705,120266
Ceará,2021,40-44 anos,4103,120266
Ceará,2021,Outras idades,252,120266
Distrito Federal,2000,10-14 anos,273,47991
Distrito Federal,2000,15-19 anos,9232,47991
Distrito Federal,2000,20-24 anos,15075,47991
Distrito Federal,2000,25-29 anos,12009,47991
Distrito Federal,2000,30-34 anos,7459,47991
Distrito Federal,2000,35-39 anos,3140,47991
Distrito Federal,2000,40-44 anos,651,47991
Distrito Federal,2000,Idade ignorada,100,47991
Distrito Federal,2000,Outras idades,52,47991
Distrito Federal,2010,10-14 anos,215,44251
Distrito Federal,2010,15-19 anos,5749,44251
Distrito Federal,2010,20-24 anos,10492,44251
Distrito Federal,2010,25-29 anos,11872,44251
Distrito Federal,2010,30-34 anos,9795,44251
Distrito Federal,2010,35-39 anos,4879,44251
Distrito Federal,2010,40-44 anos,1175,44251
Distrito Federal,2010,Outras idades,74,44251
Distrito Federal,2016,10-14 anos,171,43340
Distrito Federal,2016,15-19 anos,4988,43340
Distrito Federal,2016,20-24 anos,9346,43340
Distrito Federal,2016,25-29 anos,10074,43340
Distrito Federal,2016,30-34 anos,10653,43340
Distrito Federal,2016,35-39 anos,6394,43340
Distrito Federal,2016,40-44 anos,1599,43340
Distrito Federal,2016,Outras idades,115,43340
Distrito Federal,2017,10-14 anos,134,44568
Distrito Federal,2017,15-19 anos,4825,44568
Distrito Federal,2017,20-24 anos,9429,44568
Distrito Federal,2017,25-29 anos,10472,44568
Distrito Federal,2017,30-34 anos,10694,44568
Distrito Federal,2017,35-39 anos,7128,44568
Distrito Federal,2017,40-44 anos,1748,44568
Distrito Federal,2017,Outras idades,138,44568
Distrito Federal,2018,10-14 anos,158,44195
Distrito Federal,2018,15-19 anos,4576,44195
Distrito Federal,2018,20-24 anos,9027,44195
Distrito Federal,2018,25-29 anos,10072,44195
Distrito Federal,2018,30-34 anos,10674,44195
Distrito Federal,2018,35-39 anos,7668,44195
Distrito Federal,2018,40-44 anos,1879,44195
Distrito Federal,2018,Outras idades,141,44195
Distrito Federal,2019,10-14 anos,160,42422
Distrito Federal,2019,15-19 anos,4201,42422
Distrito Federal,2019,20-24 anos,8682,42422
Distrito Federal,2019,25-29 anos,9512,42422
Distrito Federal,2019,30-34 anos,10128,42422
Distrito Federal,2019,35-39 anos,7516,42422
Distrito Federal,2019,40-44 anos,2078,42422
Distrito Federal,2019,Idade ignorada,1,42422
Distrito Federal,2019,Outras idades,144,42422
Distrito Federal,2020,10-14 anos,123,39361
Distrito Federal,2020,15-19 anos,3649,39361
Distrito Federal,2020,20-24 anos,8053,39361
Distrito Federal,2020,25-29 anos,8986,39361
Distrito Federal,2020,30-34 anos,9209,39361
Distrito Federal,2020,35-39 anos,7173,39361
Distrito Federal,2020,40-44 anos,2017,39361
Distrito Federal,2020,Outras idades,151,39361
Distrito Federal,2021,10-14 anos,109,38035
Distrito Federal,2021,15-19 anos,3214,38035
Distrito Federal,2021,20-24 anos,7616,38035
Distrito Federal,2021,25-29 anos,9027,38035
Distrito Federal,2021,30-34 anos,8956,38035
Distrito Federal,2021,35-39 anos,6915,38035
Distrito Federal,2021,40-44 anos,2048,38035
Distrito Federal,2021,Outras idades,150,38035
Espírito Santo,2000,10-14 anos,461,58380
Espírito Santo,2000,15-19 anos,12916,58380
Espírito Santo,2000,20-24 anos,18989,58380
Espírito Santo,2000,25-29 anos,13479,58380
Espírito Santo,2000,30-34 anos,7915,58380
Espírito Santo,2000,35-39 anos,3633,58380
Espírito Santo,2000,40-44 anos,796,58380
Espírito Santo,2000,Idade ignorada,136,58380
Espírito Santo,2000,Outras idades,55,58380
Espírito Santo,2010,10-14 anos,404,51853
Espírito Santo,2010,15-19 anos,8672,51853
Espírito Santo,2010,20-24 anos,14281,51853
Espírito Santo,2010,25-29 anos,13851,51853
Espírito Santo,2010,30-34 anos,9457,51853
Espírito Santo,2010,35-39 anos,4176,51853
Espírito Santo,2010,40-44 anos,952,51853
Espírito Santo,2010,Outras idades,60,51853
Espírito Santo,2016,10-14 anos,418,53413
Espírito Santo,2016,15-19 anos,8191,53413
Espírito Santo,2016,20-24 anos,12667,53413
Espírito Santo,2016,25-29 anos,13210,53413
Espírito Santo,2016,30-34 anos,11486,53413
Espírito Santo,2016,35-39 anos,6015,53413
Espírito Santo,2016,40-44 anos,1348,53413
Espírito Santo,2016,Outras idades,78,53413
Espírito Santo,2017,10-14 anos,371,55846
Espírito Santo,2017,15-19 anos,7816,55846
Espírito Santo,2017,20-24 anos,12901,55846
Espírito Santo,2017,25-29 anos,13672,55846
Espírito Santo,2017,30-34 anos,12438,55846
Espírito Santo,2017,35-39 anos,7049,55846
Espírito Santo,2017,40-44 anos,1513,55846
Espírito Santo,2017,Outras idades,86,55846
Espírito Santo,2018,10-14 anos,345,56721
Espírito Santo,2018,15-19 anos,7429,56721
Espírito Santo,2018,20-24 anos,12969,56721
Espírito Santo,2018,25-29 anos,13370,56721
Espírito Santo,2018,30-34 anos,12992,56721
Espírito Santo,2018,35-39 anos,7826,56721
Espírito Santo,2018,40-44 anos,1711,56721
Espírito Santo,2018,Outras idades,79,56721
Espírito Santo,2019,10-14 anos,281,54925
Espírito Santo,2019,15-19 anos,6985,54925
Espírito Santo,2019,20-24 anos,12423,54925
Espírito Santo,2019,25-29 anos,12895,54925
Espírito Santo,2019,30-34 anos,12671,54925
Espírito Santo,2019,35-39 anos,7740,54925
Espírito Santo,2019,40-44 anos,1832,54925
Espírito Santo,2019,Outras idades,98,54925
Espírito Santo,2020,10-14 anos,308,53767
Espírito Santo,2020,15-19 anos,6520,53767
Espírito Santo,2020,20-24 anos,12098,53767
Espírito Santo,2020,25-29 anos,12945,53767
Espírito Santo,2020,30-34 anos,12193,53767
Espírito Santo,2020,35-39 anos,7677,53767
Espírito Santo,2020,40-44 anos,1896,53767
Espírito Santo,2020,Outras idades,130,53767
Espírito Santo,2021,10-14 anos,300,52493
Espírito Santo,2021,15-19 anos,6186,52493
Espírito Santo,2021,20-24 anos,12034,52493
Espírito Santo,2021,25-29 anos,12600,52493
Espírito Santo,2021,30-34 anos,11769,52493
Espírito Santo,2021,35-39 anos,7415,52493
Espírito Santo,2021,40-44 anos,2097,52493
Espírito Santo,2021,Outras idades,92,52493
Goiás,2000,10-14 anos,902,94746
Goiás,2000,15-19 anos,24190,94746
Goiás,2000,20-24 anos,33982,94746
Goiás,2000,25-29 anos,20829,94746
Goiás,2000,30-34 anos,9867,94746
Goiás,2000,35-39 anos,3651,94746
Goiás,2000,40-44 anos,699,94746
Goiás,2000,Idade ignorada,568,94746
Goiás,2000,Outras idades,58,94746
Goiás,2010,10-14 anos,801,87476
Goiás,2010,15-19 anos,16070,87476
Goiás,2010,20-24 anos,25669,87476
Goiás,2010,25-29 anos,23232,87476
Goiás,2010,30-34 anos,14636,87476
Goiás,2010,35-39 anos,5672,87476
Goiás,2010,40-44 anos,1223,87476
Goiás,2010,Idade ignorada,101,87476
Goiás,2010,Outras idades,72,87476
Goiás,2016,10-14 anos,738,95563
Goiás,2016,15-19 anos,15751,95563
Goiás,2016,20-24 anos,25590,95563
Goiás,2016,25-29 anos,24293,95563
Goiás,2016,30-34 anos,18284,95563
Goiás,2016,35-39 anos,8930,95563
Goiás,2016,40-44 anos,1865,95563
Goiás,2016,Idade ignorada,1,95563
Goiás,2016,Outras idades,111,95563
Goiás,2017,10-14 anos,597,97520
Goiás,2017,15-19 anos,14413,97520
Goiás,2017,20-24 anos,25705,97520
Goiás,2017,25-29 anos,24889,97520
Goiás,2017,30-34 anos,19757,97520
Goiás,2017,35-39 anos,9836,97520
Goiás,2017,40-44 anos,2189,97520
Goiás,2017,Idade ignorada,3,97520
Goiás,2017,Outras idades,131,97520
Goiás,2018,10-14 anos,583,98872
Goiás,2018,15-19 anos,13697,98872
Goiás,2018,20-24 anos,25686,98872
Goiás,2018,25-29 anos,24912,98872
Goiás,2018,30-34 anos,20493,98872
Goiás,2018,35-39 anos,10955,98872
Goiás,2018,40-44 anos,2391,98872
Goiás,2018,Idade ignorada,5,98872
Goiás,2018,Outras idades,150,98872
Goiás,2019,10-14 anos,530,96112
Goiás,2019,15-19 anos,12800,96112
Goiás,2019,20-24 anos,24760,96112
Goiás,2019,25-29 anos,24325,96112
Goiás,2019,30-34 anos,19948,96112
